up,unid.policial,jan,feb,march,april,may,june,july,aug,sept,oct,nov,dez
5.BPM,001a..Praça.Mau‡,0,1,0,1,0,0,0,0,0,0,0,0
5.BPM,004a..Praça.da.Repœblica,0,0,3,2,3,1,0,1,0,0,2,0
5.BPM,005a..Mem.de.S‡.,1,3,1,1,0,3,0,0,1,2,1,2
4.BPM,006a..Cidade.Nova,1,1,0,0,0,0,1,2,0,3,1,3
5.BPM,007a..Santa.Tereza,0,0,0,0,0,1,0,0,0,0,1,0
2.BPM,009a..Catete,1,0,2,2,0,1,0,0,4,0,1,1
2.BPM,010a..Botafogo,0,0,0,0,1,0,1,0,1,0,0,1
23.BPM,011a..Rocinha,0,0,0,0,0,0,0,0,0,0,0,0
19.BPM,012a..Copacabana,0,1,0,0,0,1,0,1,1,2,2,0
19.BPM,013a..Ipanema,0,0,0,0,0,0,0,0,0,1,0,0
23.BPM,014a..Leblon,0,1,0,0,0,0,0,0,0,0,0,0
23.BPM,015a..G‡vea,1,1,1,1,1,0,1,0,1,2,0,0
31.BPM,016a..Barra.da.Tijuca,3,1,0,2,1,1,3,0,1,3,0,0
4.BPM,017a..S‹o.Crist—v‹o,1,4,4,0,1,0,1,3,1,2,2,3
4.BPM,018a..Praça.da.Bandeira,0,0,0,0,0,2,0,0,1,1,0,0
6.BPM,019a..Tijuca,0,0,0,0,0,1,1,2,0,0,3,1
6.BPM,020a..Grajaœ,3,1,0,1,1,1,0,0,2,1,0,1
22.BPM,021a..Bonsucesso,5,7,2,6,4,7,0,2,5,4,3,3
16.BPM,022a..Penha,1,3,4,1,3,3,1,4,3,4,4,3
3.BPM,023a..Meier,0,2,0,0,0,0,0,1,0,2,2,1
3.BPM,024a..Piedade,4,1,5,0,1,2,3,1,0,4,7,2
3.BPM,025a..Engenho.Novo,1,1,2,4,1,1,2,2,1,0,2,0
3.BPM,026a..Todos.os.Santos,0,0,0,2,1,2,2,4,1,2,0,0
41.BPM,027a..Vicente.de.Carvalho,4,3,8,9,4,10,3,6,3,7,2,11
9.BPM,028a..Campinho,1,8,3,10,2,1,2,2,3,8,6,4
9.BPM,029a..Madureira,2,1,7,5,6,4,3,6,3,0,3,7
9.BPM,030a..Marechal.Hermes,1,3,1,1,4,0,3,0,3,1,2,5
41.BPM,031a..Ricardo.Albuquerque,11,2,2,4,7,3,1,2,2,7,3,3
18.BPM,032a..Taquara,2,6,4,6,6,3,2,6,5,7,4,8
14.BPM,033a..Realengo.,9,6,5,4,4,1,5,4,7,9,4,5
14.BPM,034a..Bangu.,13,15,11,8,6,2,10,11,9,7,3,11
40.BPM,035a..Campo.Grande,8,9,9,2,4,8,3,2,3,3,7,5
27.BPM,036a..Santa.Cruz,21,19,16,13,11,7,1,28,12,11,7,13
17.BPM,037a..Ilha.do.Governador,1,3,1,2,1,3,5,1,4,3,3,3
16.BPM,038a..Braz.de.Pina,1,6,1,8,3,3,2,3,6,2,7,5
41.BPM,039a..Pavuna,9,5,12,13,10,9,5,5,14,6,8,3
9.BPM,040a..Hon—rio.Gurgel,0,3,3,4,5,2,9,3,4,2,6,3
18.BPM,041a..Tanque,0,0,2,1,0,2,3,1,1,2,2,1
31.BPM,042a..Recreio,2,5,1,1,1,0,0,4,6,1,1,4
27.BPM,043a..Pedra.de.Guaratiba.,4,2,1,4,7,4,2,5,0,3,5,1
3.BPM,044a..Inhaœma.,4,2,7,3,2,0,2,1,5,3,3,3
16.BPM,045a..Alem‹o,0,0,0,0,0,0,0,0,0,0,0,0
24.BPM,048a..Serop_dica,0,2,4,2,2,2,1,2,0,3,3,2
24.BPM,050a..Itagua’,7,7,5,3,1,3,3,6,5,11,5,7
24.BPM,051a..Paracamb’,0,0,2,2,1,0,1,2,0,0,0,1
20.BPM,052a..Nova.Iguaçu,5,0,1,11,7,2,0,1,1,1,3,4
20.BPM,053a..Mesquita,3,4,4,4,2,4,2,2,5,3,2,7
39.BPM,054a..Belford.Roxo,25,20,34,25,35,26,19,24,27,13,20,30
24.BPM,055a..Queimados,3,2,7,5,5,8,2,2,3,4,3,9
20.BPM,056a..Comendador.Soares,15,13,19,21,33,16,15,26,16,15,10,24
20.BPM,057a..Nil—polis,1,3,1,2,1,5,2,3,3,4,2,5
20.BPM,058a..Posse,15,12,22,14,19,18,20,16,16,10,28,25
15.BPM,059a..Duque.de.Caxias,13,13,6,10,18,16,13,10,8,8,9,11
15.BPM,060a..Campos.El’seos.,23,17,15,17,14,9,14,10,8,10,19,5
15.BPM,061a..Xer_m.,3,3,5,2,4,0,4,1,5,2,7,4
15.BPM,062a..Imbariê,9,8,8,7,13,7,5,11,6,6,9,6
24.BPM,063a..Japer’.,4,2,5,4,6,2,4,3,5,3,3,6
21.BPM,064a..Vilar.dos.Teles,10,8,19,11,14,5,5,10,20,17,18,16
34.BPM,065a..Mag_.,1,4,2,1,2,1,5,5,2,4,6,2
34.BPM,066a..Piabet‡,2,3,6,7,3,3,3,7,6,3,1,3
34.BPM,067a..Guapimirim,0,5,2,2,0,3,1,0,0,2,2,0
35.BPM,070a..Tangu‡,0,0,0,1,0,0,0,0,0,0,0,0
35.BPM,071a..Itabora’,6,8,6,6,7,6,4,5,9,4,10,9
7.BPM,072a..S‹o.Gonçalo,11,2,4,6,4,3,4,6,5,5,8,10
7.BPM,073a..Neves,3,7,7,6,10,8,9,8,6,7,6,7
7.BPM,074a..Alcantara,17,6,13,15,13,12,7,11,8,11,12,16
7.BPM,075a..Rio.do.Ouro,2,6,9,11,9,10,4,7,5,14,11,5
12.BPM,076a..Niter—i.-.Centro,2,0,1,3,1,2,4,3,2,0,2,0
12.BPM,077a..Icara’,0,1,2,0,0,0,0,2,0,0,0,0
12.BPM,078a..Fonseca,3,1,9,2,2,4,6,2,5,1,9,9
12.BPM,079a..Jurujuba,4,3,1,0,1,1,1,2,1,1,1,6
12.BPM,081a..Itaipœ,4,1,1,3,2,1,0,1,0,0,0,0
12.BPM,082a..Maric‡,1,6,3,5,3,5,3,1,5,1,2,3
10.BPM,087a..Paty.de.Alferes.(.a.inaugurar),0,0,0,0,0,0,0,0,0,0,0,0
10.BPM,088a..Barra.do.Pira’,1,0,2,1,1,1,1,0,1,1,0,0
37.BPM,089a..Resende,1,6,3,4,5,0,3,5,4,4,6,4
28.BPM,090a..Barra.Mansa,4,5,3,2,3,1,1,1,1,4,5,5
10.BPM,091a..Valença,1,1,0,1,0,1,0,0,0,0,0,1
10.BPM,092a..Rio.das.Flores,0,0,0,0,1,0,0,0,0,0,0,0
28.BPM,093a..Volta.Redonda,9,6,5,4,1,7,4,7,5,5,3,7
10.BPM,094a..Pira’,0,0,0,0,0,0,0,0,0,1,0,0
10.BPM,095a..Vassouras,1,0,0,0,0,0,0,1,0,0,0,0
10.BPM,096a..Miguel.Pereira,0,0,1,0,0,1,1,0,0,0,0,0
10.BPM,097a..Mendes,0,0,0,0,0,0,0,0,0,0,0,0
10.BPM,098a..Paulo.de.Frontin,0,0,0,0,0,0,0,0,0,0,0,0
37.BPM,099a..Itatiaia,1,1,1,1,1,3,2,0,0,0,1,0
37.BPM,100a..Porto.Real,0,1,2,1,1,0,0,1,0,0,0,1
28.BPM,101a..Pinheiral.,3,0,0,0,0,0,0,0,2,0,1,4
30.BPM,104a..S‹o.J..Rio.Preto,0,0,0,0,0,0,0,0,0,0,0,0
26.BPM,105a..Petr—polis,0,1,1,0,1,1,0,0,2,2,0,0
26.BPM,106a..Itaipava,0,1,0,0,0,0,0,1,0,0,0,0
38.BPM,107a..Para’ba.do.Sul,0,0,0,0,0,0,0,2,0,3,0,1
38.BPM,108a..Três.Rios,1,2,0,1,4,1,0,1,0,1,1,0
38.BPM,109a..Sapucaia,0,0,0,1,0,0,0,0,1,0,1,0
30.BPM,110a..Teres—polis,3,0,0,0,1,0,0,0,2,1,0,1
30.BPM,111a..Sumidouro,1,0,0,0,0,0,0,0,0,0,0,0
30.BPM,112a..Carmo,0,0,0,0,0,0,0,0,0,0,0,0
25.BPM,118a..Araruama,1,7,4,6,3,2,0,11,3,4,4,6
35.BPM,119a..Rio.Bonito.,0,2,1,0,0,1,1,2,0,0,0,0
35.BPM,120a..Silva.Jardim,0,0,0,1,0,1,0,0,0,0,0,1
32.BPM,121a..Casimiro.de.Abreu,0,1,1,3,2,1,0,0,0,6,0,1
32.BPM,122a..Conceiç‹o.de.Macabœ,1,0,3,2,0,2,1,1,0,0,1,0
32.BPM,123a..Maca_.,11,5,6,5,5,8,3,10,5,8,5,10
25.BPM,124a..Saquarema,2,0,0,1,4,0,1,1,1,1,0,6
25.BPM,125a..S‹o.Pedro.da.Aldeia,3,3,1,2,3,6,0,1,0,2,6,2
25.BPM,126a..Cabo.Frio.,10,7,5,9,11,12,9,13,9,9,12,12
25.BPM,127a..Bœzios,1,0,0,1,1,0,1,0,1,0,0,2
32.BPM,128a..Rio.das.Ostras,0,3,3,6,3,4,1,4,5,5,3,7
25.BPM,129a..Iguaba.,0,0,0,1,0,0,0,0,0,0,0,2
32.BPM,130a..Quissam‹.,0,0,0,2,1,1,4,0,3,0,1,0
25.BPM,132a..Arraial.do.Cabo,0,0,1,2,0,0,0,1,0,0,0,0
8.BPM,134a..Campos,8,7,3,7,4,10,3,9,11,9,10,10
36.BPM,135a..Itaocara,1,1,0,0,0,0,0,1,0,0,0,0
36.BPM,136a..Santo.Antonio.de.P‡dua,0,1,0,0,1,1,0,1,1,0,0,1
36.BPM,137a..Miracema,0,0,1,0,0,0,0,1,0,0,1,1
29.BPM,138a..Lajes.de.Muriar_,0,0,0,0,0,0,0,0,0,0,0,0
29.BPM,139a..Porciœncula,0,0,0,0,0,0,0,0,0,0,0,0
29.BPM,140a..Natividade.,0,0,0,0,0,0,0,0,1,0,0,0
8.BPM,141a..S‹o.Fidelis,1,0,0,0,0,0,1,1,2,0,0,0
36.BPM,142a..Cambuc’,0,0,0,0,1,0,0,0,0,0,1,0
29.BPM,143a..Itaperuna,1,3,2,0,2,1,2,0,1,1,2,1
29.BPM,144a..Bom.Jesus.Itabapoana.,0,0,1,0,0,1,0,1,0,0,0,0
8.BPM,145a..S‹o.Jo‹o.da.Barra,1,0,0,2,1,1,2,0,0,0,1,4
8.BPM,146a..Guarus,6,10,7,7,17,5,9,9,11,17,15,12
8.BPM,147a..S‹o.Francisco.de.Itabapoana,1,5,0,0,1,0,2,3,3,0,2,2
29.BPM,148a..Italva.,0,1,0,1,2,1,0,0,0,1,0,0
11.BPM,151a..Nova.Friburgo,3,1,1,2,4,2,2,1,0,2,3,1
11.BPM,152a..Duas.Barras,0,0,0,0,0,1,0,0,0,0,0,0
11.BPM,153a..Cantagalo,3,0,0,0,0,0,0,0,0,1,1,0
11.BPM,154a..Cordeiro,0,0,1,0,0,1,0,0,0,0,0,0
